Qtemplate,Param1Name,Parram1Val,Param2Name,Param2Val,Param3Name,Param3Val,Param4Name,Param4Val,Param4Name,Param4Val,Param4Name,Param4Val,Param4Name,Param4Val,Param4Name,Param4Val
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,right_front_prop_2_vert,__NEW_COMPONENT__,62x6_2_3200_51_1390,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Wing,__DESTDESIGN__,Trowel,__DESTNAME__,left_bot_wing,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,left_bot_wing,__NEW_COMPONENT__,naca_wing,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Cylinder,__DESTDESIGN__,Trowel,__DESTNAME__,front_left_cyl_3,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,front_left_cyl_3,__NEW_COMPONENT__,PORTED_CYL,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Propeller,__DESTDESIGN__,Trowel,__DESTNAME__,right_front_prop_1_vert,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,right_front_prop_1_vert,__NEW_COMPONENT__,62x6_2_3200_51_1390,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Wing,__DESTDESIGN__,Trowel,__DESTNAME__,left_tail_wing,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,left_tail_wing,__NEW_COMPONENT__,naca_wing,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Motor,__DESTDESIGN__,Trowel,__DESTNAME__,right_front_motor_1_vert,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,right_front_motor_1_vert,__NEW_COMPONENT__,MAGiDRIVE150,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Wing,__DESTDESIGN__,Trowel,__DESTNAME__,right_top_wing,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,right_top_wing,__NEW_COMPONENT__,naca_wing,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Motor,__DESTDESIGN__,Trowel,__DESTNAME__,left_rear_motor_1_vert,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,left_rear_motor_1_vert,__NEW_COMPONENT__,MAGiDRIVE150,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Cylinder,__DESTDESIGN__,Trowel,__DESTNAME__,rear_right_cyl_3,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,rear_right_cyl_3,__NEW_COMPONENT__,PORTED_CYL,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Fuselage,__DESTDESIGN__,Trowel,__DESTNAME__,fuselage,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,fuselage,__NEW_COMPONENT__,FUSE_SPHERE_CYL_CONE,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Passenger,__DESTDESIGN__,Trowel,__DESTNAME__,Passenger2,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,NACA_Port_Connector,__DESTDESIGN__,Trowel,__DESTNAME__,bot_naca_connector,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,bot_naca_connector,__NEW_COMPONENT__,naca_connector,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Orient,__DESTDESIGN__,Trowel,__DESTNAME__,Orient,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Cylinder,__DESTDESIGN__,Trowel,__DESTNAME__,front_right_cyl_3,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,front_right_cyl_3,__NEW_COMPONENT__,PORTED_CYL,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Battery,__DESTDESIGN__,Trowel,__DESTNAME__,right_battery,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,right_battery,__NEW_COMPONENT__,Tattu25AhLi,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Propeller,__DESTDESIGN__,Trowel,__DESTNAME__,right_rear_prop_2_vert,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,right_rear_prop_2_vert,__NEW_COMPONENT__,62x6_2_3200_51_1390,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Propeller,__DESTDESIGN__,Trowel,__DESTNAME__,right_front_prop_fwd,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,right_front_prop_fwd,__NEW_COMPONENT__,62x6_2_3200_51_1390,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Motor,__DESTDESIGN__,Trowel,__DESTNAME__,right_front_motor_fwd,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,right_front_motor_fwd,__NEW_COMPONENT__,MAGiDRIVE150,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Cylinder,__DESTDESIGN__,Trowel,__DESTNAME__,rear_left_cyl_2,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,rear_left_cyl_2,__NEW_COMPONENT__,PORTED_CYL,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Wing,__DESTDESIGN__,Trowel,__DESTNAME__,right_bot_wing,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,right_bot_wing,__NEW_COMPONENT__,naca_wing,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Motor,__DESTDESIGN__,Trowel,__DESTNAME__,left_rear_motor_2_vert,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,left_rear_motor_2_vert,__NEW_COMPONENT__,MAGiDRIVE150,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Propeller,__DESTDESIGN__,Trowel,__DESTNAME__,left_front_prop_fwd,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,left_front_prop_fwd,__NEW_COMPONENT__,62x6_2_3200_51_1390,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Passenger,__DESTDESIGN__,Trowel,__DESTNAME__,Passenger1,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Propeller,__DESTDESIGN__,Trowel,__DESTNAME__,left_rear_prop_3_vert,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,left_rear_prop_3_vert,__NEW_COMPONENT__,62x6_2_3200_51_1390,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Cylinder_Flip,__DESTDESIGN__,Trowel,__DESTNAME__,front_left_cyl_flip,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,front_left_cyl_flip,__NEW_COMPONENT__,Cyl_Flip,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,BatteryController,__DESTDESIGN__,Trowel,__DESTNAME__,777V_Bat_System,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Propeller,__DESTDESIGN__,Trowel,__DESTNAME__,left_front_prop_3_vert,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,left_front_prop_3_vert,__NEW_COMPONENT__,62x6_2_3200_51_1390,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Cylinder,__DESTDESIGN__,Trowel,__DESTNAME__,rear_right_cyl_2,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,rear_right_cyl_2,__NEW_COMPONENT__,PORTED_CYL,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Propeller,__DESTDESIGN__,Trowel,__DESTNAME__,left_rear_prop_2_vert,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,left_rear_prop_2_vert,__NEW_COMPONENT__,62x6_2_3200_51_1390,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Cylinder,__DESTDESIGN__,Trowel,__DESTNAME__,front_right_cyl_1,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,front_right_cyl_1,__NEW_COMPONENT__,PORTED_CYL,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Propeller,__DESTDESIGN__,Trowel,__DESTNAME__,left_front_prop_2_vert,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,left_front_prop_2_vert,__NEW_COMPONENT__,62x6_2_3200_51_1390,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Motor,__DESTDESIGN__,Trowel,__DESTNAME__,right_rear_motor_3_vert,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,right_rear_motor_3_vert,__NEW_COMPONENT__,MAGiDRIVE150,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Wing,__DESTDESIGN__,Trowel,__DESTNAME__,left_top_wing,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,left_top_wing,__NEW_COMPONENT__,naca_wing,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Motor,__DESTDESIGN__,Trowel,__DESTNAME__,right_front_motor_2_vert,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,right_front_motor_2_vert,__NEW_COMPONENT__,MAGiDRIVE150,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Cylinder,__DESTDESIGN__,Trowel,__DESTNAME__,rear_right_cyl_4,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,rear_right_cyl_4,__NEW_COMPONENT__,PORTED_CYL,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Propeller,__DESTDESIGN__,Trowel,__DESTNAME__,left_front_prop_1_vert,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,left_front_prop_1_vert,__NEW_COMPONENT__,62x6_2_3200_51_1390,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Propeller,__DESTDESIGN__,Trowel,__DESTNAME__,left_rear_prop_1_vert,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,left_rear_prop_1_vert,__NEW_COMPONENT__,62x6_2_3200_51_1390,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Motor,__DESTDESIGN__,Trowel,__DESTNAME__,right_rear_motor_1_vert,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,right_rear_motor_1_vert,__NEW_COMPONENT__,MAGiDRIVE150,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Cylinder,__DESTDESIGN__,Trowel,__DESTNAME__,rear_left_cyl_1,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,rear_left_cyl_1,__NEW_COMPONENT__,PORTED_CYL,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Cylinder_Flip_Out,__DESTDESIGN__,Trowel,__DESTNAME__,left_center_cyl_flip,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,left_center_cyl_flip,__NEW_COMPONENT__,Cyl_Flip_Out,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Cylinder,__DESTDESIGN__,Trowel,__DESTNAME__,rear_left_cyl_3,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,rear_left_cyl_3,__NEW_COMPONENT__,PORTED_CYL,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Cylinder,__DESTDESIGN__,Trowel,__DESTNAME__,front_left_cyl_1,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,front_left_cyl_1,__NEW_COMPONENT__,PORTED_CYL,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Cylinder,__DESTDESIGN__,Trowel,__DESTNAME__,center_left_cyl,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,center_left_cyl,__NEW_COMPONENT__,PORTED_CYL,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Cylinder,__DESTDESIGN__,Trowel,__DESTNAME__,front_right_cyl_2,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,front_right_cyl_2,__NEW_COMPONENT__,PORTED_CYL,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Cylinder,__DESTDESIGN__,Trowel,__DESTNAME__,rear_left_cyl_4,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,rear_left_cyl_4,__NEW_COMPONENT__,PORTED_CYL,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,NACA_Port_Connector,__DESTDESIGN__,Trowel,__DESTNAME__,top_naca_connector,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,top_naca_connector,__NEW_COMPONENT__,naca_connector,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Wing,__DESTDESIGN__,Trowel,__DESTNAME__,right_tail_wing,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,right_tail_wing,__NEW_COMPONENT__,naca_wing,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Motor,__DESTDESIGN__,Trowel,__DESTNAME__,right_rear_motor_2_vert,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,right_rear_motor_2_vert,__NEW_COMPONENT__,MAGiDRIVE150,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Battery,__DESTDESIGN__,Trowel,__DESTNAME__,left_battery,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,left_battery,__NEW_COMPONENT__,Tattu25AhLi,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Propeller,__DESTDESIGN__,Trowel,__DESTNAME__,right_front_prop_3_vert,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,right_front_prop_3_vert,__NEW_COMPONENT__,62x6_2_3200_51_1390,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Propeller,__DESTDESIGN__,Trowel,__DESTNAME__,right_rear_prop_3_vert,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,right_rear_prop_3_vert,__NEW_COMPONENT__,62x6_2_3200_51_1390,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Cylinder,__DESTDESIGN__,Trowel,__DESTNAME__,center_right_cyl,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,center_right_cyl,__NEW_COMPONENT__,PORTED_CYL,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Propeller,__DESTDESIGN__,Trowel,__DESTNAME__,right_rear_prop_1_vert,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,right_rear_prop_1_vert,__NEW_COMPONENT__,62x6_2_3200_51_1390,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Cylinder,__DESTDESIGN__,Trowel,__DESTNAME__,rear_right_cyl_1,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,rear_right_cyl_1,__NEW_COMPONENT__,PORTED_CYL,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Motor,__DESTDESIGN__,Trowel,__DESTNAME__,left_front_motor_2_vert,,,,,,,,
swap,__DESIGN__,Trowel,__COMPONENT_INSTANCE__,left_front_motor_2_vert,__NEW_COMPONENT__,MAGiDRIVE150,,,,,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,left_front_motor_3_vert,__SOURCECONN__,MotorPower,__DESTCOMP__,777V_Bat_System,__DESTCONN__,MotorPower,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,left_front_motor_3_vert,__SOURCECONN__,Prop_Connector,__DESTCOMP__,left_front_prop_3_vert,__DESTCONN__,MOTOR_CONNECTOR_CS_IN,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,left_front_motor_3_vert,__SOURCECONN__,Base_Connector,__DESTCOMP__,front_left_cyl_3,__DESTCONN__,TOP_CONNECTOR,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,front_right_cyl_flip,__SOURCECONN__,REAR_CONNECTOR,__DESTCOMP__,front_right_cyl_1,__DESTCONN__,FRONT_CONNECTOR,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,front_right_cyl_flip,__SOURCECONN__,FRONT_CONNECTOR,__DESTCOMP__,right_front_motor_fwd,__DESTCONN__,Base_Connector,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,left_front_motor_fwd,__SOURCECONN__,Prop_Connector,__DESTCOMP__,left_front_prop_fwd,__DESTCONN__,MOTOR_CONNECTOR_CS_IN,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,left_front_motor_fwd,__SOURCECONN__,Base_Connector,__DESTCOMP__,front_left_cyl_flip,__DESTCONN__,FRONT_CONNECTOR,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,left_front_motor_fwd,__SOURCECONN__,MotorPower,__DESTCOMP__,777V_Bat_System,__DESTCONN__,MotorPower,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,front_left_cyl_2,__SOURCECONN__,FRONT_CONNECTOR,__DESTCOMP__,front_left_cyl_1,__DESTCONN__,REAR_CONNECTOR,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,front_left_cyl_2,__SOURCECONN__,TOP_CONNECTOR,__DESTCOMP__,left_front_motor_2_vert,__DESTCONN__,Base_Connector,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,front_left_cyl_2,__SOURCECONN__,REAR_CONNECTOR,__DESTCOMP__,front_left_cyl_3,__DESTCONN__,FRONT_CONNECTOR,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,left_rear_motor_3_vert,__SOURCECONN__,MotorPower,__DESTCOMP__,777V_Bat_System,__DESTCONN__,MotorPower,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,left_rear_motor_3_vert,__SOURCECONN__,Prop_Connector,__DESTCOMP__,left_rear_prop_3_vert,__DESTCONN__,MOTOR_CONNECTOR_CS_IN,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,left_rear_motor_3_vert,__SOURCECONN__,Base_Connector,__DESTCOMP__,rear_left_cyl_3,__DESTCONN__,TOP_CONNECTOR,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,right_front_motor_3_vert,__SOURCECONN__,Base_Connector,__DESTCOMP__,front_right_cyl_3,__DESTCONN__,TOP_CONNECTOR,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,right_front_motor_3_vert,__SOURCECONN__,MotorPower,__DESTCOMP__,777V_Bat_System,__DESTCONN__,MotorPower,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,right_front_motor_3_vert,__SOURCECONN__,Prop_Connector,__DESTCOMP__,right_front_prop_3_vert,__DESTCONN__,MOTOR_CONNECTOR_CS_IN,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,left_front_motor_1_vert,__SOURCECONN__,Prop_Connector,__DESTCOMP__,left_front_prop_1_vert,__DESTCONN__,MOTOR_CONNECTOR_CS_IN,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,left_front_motor_1_vert,__SOURCECONN__,Base_Connector,__DESTCOMP__,front_left_cyl_1,__DESTCONN__,TOP_CONNECTOR,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,left_front_motor_1_vert,__SOURCECONN__,MotorPower,__DESTCOMP__,777V_Bat_System,__DESTCONN__,MotorPower,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,Cyl_Flip_Out,__SOURCECONN__,Flip_Connector_2,__DESTCOMP__,center_right_cyl,__DESTCONN__,LEFT_CONNECTOR,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,Cyl_Flip_Out,__SOURCECONN__,Flip_Connector_1,__DESTCOMP__,fuselage,__DESTCONN__,RIGHT_CONNECTOR,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,right_front_prop_2_vert,__SOURCECONN__,MOTOR_CONNECTOR_CS_IN,__DESTCOMP__,right_front_motor_2_vert,__DESTCONN__,Prop_Connector,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,left_bot_wing,__SOURCECONN__,Battery_Connector_2,__DESTCOMP__,left_battery,__DESTCONN__,Battery_Connector_2_out,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,left_bot_wing,__SOURCECONN__,Connector_2,__DESTCOMP__,bot_naca_connector,__DESTCONN__,End_Connector_1,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,front_left_cyl_3,__SOURCECONN__,REAR_CONNECTOR,__DESTCOMP__,center_left_cyl,__DESTCONN__,FRONT_CONNECTOR,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,right_front_prop_1_vert,__SOURCECONN__,MOTOR_CONNECTOR_CS_IN,__DESTCOMP__,right_front_motor_1_vert,__DESTCONN__,Prop_Connector,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,left_tail_wing,__SOURCECONN__,Connector_1,__DESTCOMP__,rear_left_cyl_4,__DESTCONN__,LEFT_CONNECTOR,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,right_front_motor_1_vert,__SOURCECONN__,MotorPower,__DESTCOMP__,777V_Bat_System,__DESTCONN__,MotorPower,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,right_front_motor_1_vert,__SOURCECONN__,Base_Connector,__DESTCOMP__,front_right_cyl_1,__DESTCONN__,TOP_CONNECTOR,,,,,,
addConn,__SOURCEDESIGN__,Trowel,__SOURCECOMP__,right_top_wing,__SOURCECONN__,Connector_1,__DESTCOMP__,top_naca_connector,__DESTCONN__,End_Connector_1,,,,,,
